iter	R2	RMSE
912	0.8985955712	14847868.28
913	0.8986416315	14844495.78
914	0.8986703998	14842388.99
915	0.8986827085	14841487.49
916	0.8986899911	14840954.09
917	0.898736711	14837531.68
918	0.8987549352	14836196.48
919	0.8987807065	14834308.13
920	0.898828497	14830805.72
921	0.898846692	14829472.05
922	0.8988966952	14825806.26
923	0.8989090257	14824902.16
924	0.898955448	14821497.88
925	0.8989751424	14820053.4
926	0.8990189785	14816837.73
927	0.8990591304	14813891.71
928	0.8990803349	14812335.66
929	0.899133602	14808426.05
930	0.8991434406	14807703.82
931	0.899216447	14802343.47
932	0.8992521249	14799723.19
933	0.8992651702	14798764.98
